ID,Name,PoI ID,PoI Name,To ID,To Name,Latitude,Longitude,Elevation
,,,,P-P68,Atadoa,40.10828,-8.47870,112
P-P68,Atadoa,,,,,40.10828,-8.47870,112
,,,,P-P69,Avessada,40.11301,-8.47686,109
P-P69,Avessada,,,,,40.11301,-8.47686,109
,,,,P-P70,Orelhudo,40.12555,-8.47777,92
P-P70,Orelhudo,,,,,40.12555,-8.47777,92
,,,,.,,40.12708,-8.47597,76
,,,,P-P71,Ribeira de Casconha,40.13094,-8.47169,98
P-P71,Ribeira de Casconha,,,,,40.13094,-8.47169,98
,,,,.,,40.13355,-8.47195,106
,,,,.,,40.13407,-8.47398,104
,,,,P-P72,Cernache,40.13786,-8.46969,104
P-P72,Cernache,,,,,40.13786,-8.46969,104
,,,,P-P73,Pousada,40.14083,-8.45492,127
P-P73,Pousada,,,,,40.14083,-8.45492,127
,,,,P-P74,Palheira,40.16453,-8.45126,141
P-P74,Palheira,,,,,40.16453,-8.45126,141
,,,,.,,40.17315,-8.44927,187
,,,,P-P75,Qunita do Limoneiro,40.17535,-8.45123,162
P-P75,Qunita do Limoneiro,,,,,40.17535,-8.45123,162
,,,,P-P76,Cruz dos Morouços,40.18148,-8.45167,198
P-P76,Cruz dos Morouços,,,,,40.18148,-8.45167,198
,,,,P-P77,Bordalo,40.19297,-8.44637,106
P-P77,Bordalo,,,,,40.19297,-8.44637,106
,,,,P-P78,Coímbra,40.20705,-8.42957,25
P-P78,Coímbra,,,,,40.20705,-8.42957,25
,,P-P78-1,Biblioteca Joanina,,,40.20719,-8.42634,116
,,P-P78-2,Jardim Botânico da Universidade de Coimbra,,,40.20576,-8.42137,75
,,P-P78-3,Mosteiro de Santa Clara-a-Velha,,,40.20278,-8.43333,25
,,,,P-P79,Adémia de Baxio,40.25047,-8.45062,19
P-P79,Adémia de Baxio,,,,,40.25047,-8.45062,19
,,,,P-P80,Fornos,40.26610,-8.44452,18
P-P80,Fornos,,,,,40.26610,-8.44452,18
,,,,P-P81,Trouxemil,40.27533,-8.45419,96
P-P81,Trouxemil,,,,,40.27533,-8.45419,96
,,,,P-P82,Adões,40.28156,-8.45361,95
P-P82,Adões,,,,,40.28156,-8.45361,95
,,,,P-P83,Sargento Mõr,40.28961,-8.44734,93
P-P83,Sargento Mõr,,,,,40.28961,-8.44734,93
,,,,P-P84,Santa Luzia,40.30531,-8.44864,143
P-P84,Santa Luzia,,,,,40.30531,-8.44864,143
,,,,P-P85,Mala,40.33570,-8.46423,92
P-P85,Mala,,,,,40.33570,-8.46423,92
,,,,P-P86,Lendiosa,40.34608,-8.46320,75
P-P86,Lendiosa,,,,,40.34608,-8.46320,75
,,,,P-P87,Vimieira,40.35749,-8.46366,94
P-P87,Vimieira,,,,,40.35749,-8.46366,94
,,,,P-P88,Mealhada,40.38071,-8.44947,48
P-P88,Mealhada,,,,,40.38071,-8.44947,48
,,,,P-P89,Sernadelo,40.39079,-8.44932,45
P-P89,Sernadelo,,,,,40.39079,-8.44932,45
,,,,P-P90,Alpalhão,40.40251,-8.44803,54
P-P90,Alpalhão,,,,,40.40251,-8.44803,54
,,,,P-P91,Aguim,40.41415,-8.44549,69
P-P91,Aguim,,,,,40.41415,-8.44549,69
,,,,.,,40.42576,-8.44070,74
,,,,.,,40.43984,-8.44404,62
,,,,P-P92,Anadia,40.44406,-8.45208,30
P-P92,Anadia,,,,,40.44406,-8.45208,30
,,,,P-P93,Arcos,40.44794,-8.44157,32
P-P93,Arcos,,,,,40.44794,-8.44157,32
,,,,.,,40.44749,-8.43923,38
,,,,P-P94,Alféloas,40.45216,-8.43849,35
P-P94,Alféloas,,,,,40.45216,-8.43849,35
,,,,P-P95,Avelãs de Caminho,40.47925,-8.45289,24
P-P95,Avelãs de Caminho,,,,,40.47925,-8.45289,24
,,,,P-P96,São Jão de Azenha,40.49522,-8.45379,21
P-P96,São Jão de Azenha,,,,,40.49522,-8.45379,21
,,,,P-P97,Aguada de Baixo,40.51320,-8.45376,32
P-P97,Aguada de Baixo,,,,,40.51320,-8.45376,32
,,,,P-P98,Landosia,40.51771,-8.45552,14
P-P98,Landosia,,,,,40.51771,-8.45552,14
,,,,P-P99,Brejo,40.55106,-8.45117,52
P-P99,Brejo,,,,,40.55106,-8.45117,52
,,,,P-P100,Sardão,40.56416,-8.44603,16
P-P100,Sardão,,,,,40.56416,-8.44603,16
