ID,Name,PoI ID,PoI Name,To ID,To Name,Latitude,Longitude,Elevation
,,BM-77-1,Burragula Lookout,,,-33.82320,151.29852,26
,,,,BM-78,North Head East,-33.82190,151.30064,34
BM-78,North Head East,,,,,-33.82190,151.30064,34
,,BM-78-1,Yiningma Lookout,,,-33.82184,151.30076,28
,,,,BM-79,North Head (Return),-33.82107,151.29957,76
BM-79,North Head (Return),,,,,-33.82107,151.29957,76
,,,,BM-80,Hanging Swamp,-33.81444,151.30148,88
BM-80,Hanging Swamp,,,,,-33.81444,151.30148,88
,,BM-80-1,No 1 Gun Emplacement South,,,-33.81782,151.29847,87
,,BM-80-2,No 2 Gun Emplacement North,,,-33.81657,151.29899,88
,,,,BM-81,The Barracks (Return),-33.81131,151.29761,86
BM-81,The Barracks (Return),,,,,-33.81131,151.29761,86
,,,,BM-82,Old Quarry Swamp,-33.80500,151.30069,77
BM-82,Old Quarry Swamp,,,,,-33.80500,151.30069,77
,,BM-82-1,Wall Gate,,,-33.80278,151.30108,35
,,,,BM-83,Shelly Head,-33.79933,151.29755,10
BM-83,Shelly Head,,,,,-33.79933,151.29755,10
,,,,BM-84,Shelly Beach,-33.80094,151.29841,7
BM-84,Shelly Beach,,,,,-33.80094,151.29841,7
,,,,BM-85,Manly Beach,-33.79695,151.28833,6
BM-85,Manly Beach,,,,,-33.79695,151.28833,6
BM-A1,Cremorne,,,,,-33.82813,151.23020,87
BM-A2,Mosman,,,,,-33.82411,151.24153,96
