ID,Name,PoI ID,PoI Name,To ID,To Name,Latitude,Longitude,Elevation
,,,,N-N46,Islares,43.40498,-3.30002,29
N-N46,Islares,,,,,43.40498,-3.30002,29
,,,,N-N47,El Pontarrón,43.37894,-3.31889,35
N-N47,El Pontarrón,,,,,43.37894,-3.31889,35
,,,,N-N48,Rioseco,43.36479,-3.31675,15
N-N48,Rioseco,,,,,43.36479,-3.31675,15
,,,,.,,43.36204,-3.32429,9
,,,,.,,43.36793,-3.33261,145
,,,,N-N49,Lugarejos,43.36504,-3.34067,180
N-N49,Lugarejos,,,,,43.36504,-3.34067,180
,,,,N-N50,Liendo,43.39350,-3.38003,31
N-N50,Liendo,,,,,43.39350,-3.38003,31
,,,,.,,43.40081,-3.36960,26
,,,,.,,43.41140,-3.37281,84
,,,,.,,43.40360,-3.39275,225
,,,,.,,43.40667,-3.40166,178
,,,,.,,43.41124,-3.39112,185
,,,,N-N51,Laredo,43.41092,-3.41288,12
N-N51,Laredo,,,,,43.41092,-3.41288,12
,,N-N51-1,Túnel de La Atalaya,,,43.41444,-3.41286,34
,,,,N-N57,Santoña,43.44716,-3.45486,12
,,,,N-N52,Colidres,43.39532,-3.44929,8
N-N52,Colidres,,,,,43.39532,-3.44929,8
,,N-N52-1,Puente de Treto,,,43.39353,-3.46491,0
,,,,N-N53,Adal Treto,43.39407,-3.47631,45
N-N53,Adal Treto,,,,,43.39407,-3.47631,45
,,,,N-N54,Cicero,43.40453,-3.48918,33
N-N54,Cicero,,,,,43.40453,-3.48918,33
,,,,.,,43.41051,-3.50157,92
,,,,.,,43.41129,-3.51125,14
,,,,N-N55,Gama,43.42382,-3.52227,6
N-N55,Gama,,,,,43.42382,-3.52227,6
,,,,N-N56,Escalante,43.43613,-3.51251,4
N-N56,Escalante,,,,,43.43613,-3.51251,4
,,,,N-N58,Barrio Pereda,43.45719,-3.48572,6
N-N57,Santoña,,,,,43.44716,-3.45486,12
,,N-N57-1,Marisma de Bengoa,,,43.45498,-3.46484,0
,,N-N57-2,Transfer between inland and and coastal routes (to Noja),,,43.46381,-3.47824,15
,,N-N57-3,Transfer between inland and and coastal routes (to Noja),,,43.45822,-3.50543,33
,,,,.,,43.46384,-3.47739,8
,,,,N-N58,Barrio Pereda,43.45719,-3.48572,6
N-N58,Barrio Pereda,,,,,43.45719,-3.48572,6
,,,,N-N59,Castillo Siete Villas,43.45696,-3.55300,51
,,,,N-N61,Noja,43.48042,-3.52014,24
N-N59,Castillo Siete Villas,,,,,43.45696,-3.55300,51
,,,,N-N60,San Miguel de Meruelo,43.45856,-3.58113,28
N-N60,San Miguel de Meruelo,,,,,43.45856,-3.58113,28
,,,,N-N64,Bareyo,43.46870,-3.59899,81
N-N61,Noja,,,,,43.48042,-3.52014,24
,,N-N61-1,Puente Romano,,,43.45498,-3.46484,0
,,N-N61-2,Transfer between inland and and coastal routes (to Castilla),,,43.47213,-3.51005,6
,,N-N61-3,Transfer between inland and and coastal routes (to Castillo),,,43.47836,-3.52486,21
,,,,N-N62,Isla,43.49365,-3.56887,67
N-N62,Isla,,,,,43.49365,-3.56887,67
,,,,N-N63,Arnuero,43.47716,-3.56874,65
N-N63,Arnuero,,,,,43.47716,-3.56874,65
,,,,N-N64,Bareyo,43.46870,-3.59899,81
N-N64,Bareyo,,,,,43.46870,-3.59899,81
,,N-N66-1,Transfer between Northern and Southern routes,,,43.47370,-3.59520,33
,,,,N-N65,Güemes,43.45605,-3.63496,55
,,,,N-N67,Ajo,43.48818,-3.60169,47
N-N65,Güemes,,,,,43.45605,-3.63496,55
,,,,N-N66,Linderrio,43.46420,-3.65972,45
N-N66,Linderrio,,,,,43.46420,-3.65972,45
,,,,N-N68,Galizano,43.46853,-3.67007,15
N-N67,Ajo,,,,,43.48818,-3.60169,47
,,N-N65-1,Interpretation Centre of the Northern Way,,,43.48840,-3.59842,41
,,,,.,,43.48651,-3.60874,39
,,,,.,,43.48843,-3.61913,32
,,,,.,,43.48855,-3.64170,147
