ID,Name,PoI ID,PoI Name,To ID,To Name,Latitude,Longitude,Elevation
GA-GA63,Magros,,,,,42.46071,-8.25484,618
,,GA-GA63-1,Ó Labrego Sculpture,,,42.46038,-8.25651,604
,,,,.,,42.46108,-8.25963,657
,,,,.,,42.46281,-8.25766,687
,,,,GA-GA64,Beariz,42.46628,-8.27081,624
GA-GA64,Beariz,,,,,42.46628,-8.27081,624
,,GA-GA64-1,Area Recreativa de Barcia,,,42.47425,-8.27800,613
,,,,.,,42.47445,-8.27813,611
,,,,.,,42.48614,-8.29173,746
,,,,.,,42.50461,-8.30926,700
,,,,GA-GA65,Pardesoa,42.51482,-8.31243,612
GA-GA65,Pardesoa,,,,,42.51482,-8.31243,612
,,GA-GA65-1,Pilgrim Shrine/Cross,,,42.51837,-8.31025,600
,,,,.,,42.51687,-8.31167,587
,,,,.,,42.52002,-8.31066,599
,,,,GA-GA66,O Sisto,42.52246,-8.31183,573
GA-GA66,O Sisto,,,,,42.52246,-8.31183,573
,,GA-GA66-1,Pilgrims of O Sisto,,,42.52257,-8.31196,573
,,,,GA-GA67,Soutelo de Montes,42.53633,-8.30244,648
GA-GA67,Soutelo de Montes,,,,,42.53633,-8.30244,648
,,GA-GA67-1,Homenaxe ós Gaiteros de Soutelo de Montes,,,42.53655,-8.30390,650
,,,,.,,42.54416,-8.31680,583
,,,,GA-GA68,Ventoxo,42.54505,-8.32106,629
GA-GA68,Ventoxo,,,,,42.54505,-8.32106,629
,,,,GA-GA69,Fontela,42.55045,-8.32696,633
GA-GA69,Fontela,,,,,42.55045,-8.32696,633
,,,,GA-GA70,Acivedo,42.55467,-8.33531,603
GA-GA70,Acivedo,,,,,42.55467,-8.33531,603
,,,,.,,42.56677,-8.32956,570
,,,,GA-GA71,A Freixeira,42.56995,-8.33336,564
GA-GA71,A Freixeira,,,,,42.56995,-8.33336,564
,,,,.,,42.57258,-8.33731,579
,,,,GA-GA72,O Cachafeiro,42.57494,-8.34023,562
GA-GA72,O Cachafeiro,,,,,42.57494,-8.34023,562
,,,,.,,42.57651,-8.34071,551
,,,,.,,42.57670,-8.34502,545
,,,,.,,42.57831,-8.34954,526
,,,,.,,42.58025,-8.35065,508
,,,,GA-GA73,Ponte de Gomail,42.57961,-8.35347,485
GA-GA73,Ponte de Gomail,,,,,42.57961,-8.35347,485
,,,,GA-GA74,A Mámoa,42.58753,-8.38033,680
GA-GA74,A Mámoa,,,,,42.58753,-8.38033,680
,,GA-GA74-1,Cruceiro de Mámoa,,,42.58786,-8.37950,671
,,GA-GA74-2,Cruz do Arrieiro,,,42.59564,-8.38827,696
,,GA-GA74-3,Monolith,,,42.59498,-8.39475,698
,,,,.,,42.58936,-8.38373,700
,,,,.,,42.59625,-8.38701,697
,,,,.,,42.59531,-8.39486,697
,,,,.,,42.59778,-8.39955,674
,,,,.,,42.59562,-8.40356,629
,,,,.,,42.59931,-8.40450,601
,,,,.,,42.59910,-8.40911,580
,,,,GA-GA75,Vilaboa,42.60072,-8.40887,587
