ID,Name,PoI ID,PoI Name,To ID,To Name,Latitude,Longitude,Elevation
AR-L2,Lumbier Gorge,,,,,42.62843,-1.30142,464
,,,,AR-L3,Lumbier,42.65013,-1.31096,431
AR-L3,Lumbier,,,,,42.65013,-1.31096,431
,,,,AR-L4,Aldunate,42.65467,-1.37233,562
AR-L4,Aldunate,,,,,42.65467,-1.37233,562
,,,,.,,42.64475,-1.36494,628
,,,,.,,42.64898,-1.37523,698
,,,,.,,42.65443,-1.39605,787
,,,,.,,42.65622,-1.40229,733
,,,,.,,42.65954,-1.42272,673
,,,,AR-AR21,Izco,42.65707,-1.42903,714
AR-Y1,Yesa,,,,,42.62022,-1.20329,495
,,,,.,,42.62296,-1.22159,462
,,,,.,,42.62458,-1.24613,564
,,,,AR-L1,Liédena,42.61680,-1.27698,412
